"b'Software Engineer, New Grad (2023)'",b'Sentry (sentry.io)',"b'San Francisco, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-new-grad-2023-at-sentry-sentry-io-3266762965?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=yyqJXrhXyeo6a2hU%2BAQ5vA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
"b'Software Engineer, Backend - University Graduate 2023'",b'Verkada',"b'San Mateo, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-backend-university-graduate-2023-at-verkada-3194061957?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=W8F7OZgUJxfDlgEl2DhOPQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Engineer (Future Opportunities)',b'Twitter',"b'San Jose, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-future-opportunities-at-twitter-3383558883?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=wh1v6kdBA%2BlfyiANjvp%2BEw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Engineer',b'Tesla',"b'Fremont, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-at-tesla-3213260252?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=cKCc6pqcT8HZfQyf4PbTrg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Development Engineer',b'Apple',"b'Cupertino, CA'",b'https://www.linkedin.com/jobs/view/software-development-engineer-at-apple-3313828881?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=6CtOBzHHP8C00K1gpFaUMA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software QA Engineer',b'Apple',"b'Culver City, CA'",b'https://www.linkedin.com/jobs/view/software-qa-engineer-at-apple-3322038726?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=3EjxpQQLPz6Il6LVHDxhNg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
"b'Software Engineer, Entry-Level'",b'Laserfiche',"b'Long Beach, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-entry-level-at-laserfiche-2805425258?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=Llm%2FIvNDsNiIQNSWqcKaDg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Development Engineer',b'Apple',"b'Cupertino, CA'",b'https://www.linkedin.com/jobs/view/software-development-engineer-at-apple-3381362933?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=3ipA%2BYT9LmuTHZItBEPUqg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Engineer - Full Stack',b'Nextdoor',"b'California, United States'",b'https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-nextdoor-2617202349?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=TR9HBOcgaeC%2FvXXMxHlN%2Bg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Engineer',b'Vontive',"b'San Francisco, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-at-vontive-3385785431?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=TyQrRChPr1dM%2BBJZq%2B6pjw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Development Engineer',b'Apple',"b'Cupertino, CA'",b'https://www.linkedin.com/jobs/view/software-development-engineer-at-apple-3245717548?refId=s5Yfcj4sILPF5UR9XRKVSw%3D%3D&trackingId=KelEA5aQKCpeFifRXTz4wQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Engineer Intern (Summer 2023)',b'Netflix',"b'Los Gatos, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-intern-summer-2023-at-netflix-3356609726?refId=1DWSmMivhWVUNbcBfHpmlg%3D%3D&trackingId=dmL2Sy4ymz8d4o2skMdI6A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
b'Software Engineer',b'Apple',"b'Cupertino, CA'",b'https://www.linkedin.com/jobs/view/software-engineer-at-apple-3337050766?refId=1DWSmMivhWVUNbcBfHpmlg%3D%3D&trackingId=fIdO8g4hIytHuFotjuPPtQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
Title,Company,Location,Apply
